src,dst,wgh
BR,BY,7.0
GP,FK,15.0
HS,EO,2.0
YV,ZP,2.0
PC,SY,15.0
AS,WH,4.0
QQ,NB,12.0
FY,SS,24.0
RW,BX,10.0
BY,JT,2.0
UO,VS,7.0
UB,US,1.0
WQ,MQ,10.0
NC,NV,4.0
QN,M,10.0
EB,PG,10.0
BU,KT,6.0
XC,SD,3.0
XC,FI,13.0
R,WR,6.0
QL,VL,1.0
WC,MY,6.0
IN,IO,10.0
EY,DH,13.0
NM,VT,8.0
IB,BN,14.0
TB,ZJ,2.0
TC,GD,9.0
MP,PZ,9.0
TN,HY,18.0
HO,IW,9.0
XN,DN,17.0
VL,E,15.0
AI,RB,8.0
CH,MB,8.0
ST,JC,11.0
RQ,VO,2.0
RK,JL,12.0
XO,LW,9.0
GQ,UK,17.0
TO,YA,2.0
YV,WF,9.0
CN,GU,9.0
RA,KK,23.0
DU,YP,7.0
AO,BJ,8.0
Q,NF,6.0
BD,PH,9.0
FI,DC,7.0
TO,KU,7.0
TK,KY,11.0
NO,IS,9.0
GB,JM,2.0
I,U,5.0
UD,YJ,17.0
UO,YY,9.0
JJ,AO,6.0
BT,QE,5.0
CX,JR,6.0
QR,RK,3.0
SL,HF,5.0
AP,JS,6.0
HB,PR,4.0
MF,QQ,3.0
HL,ZA,8.0
NH,TJ,19.0
MC,QT,6.0
YE,OR,6.0
JN,NC,1.0
DZ,MI,27.0
U,JK,1.0
BX,LJ,8.0
JT,WS,7.0
XU,KG,8.0
AV,VN,2.0
KX,CY,5.0
ND,EY,12.0
BC,SG,12.0
XX,JY,2.0
ZZ,XC,8.0
TD,DT,11.0
IW,WB,2.0
LS,UW,5.0
SO,HB,2.0
KF,IR,16.0
TN,ZC,2.0
GR,OJ,5.0
AC,BH,4.0
OJ,NJ,12.0
HA,FR,8.0
IO,JA,11.0
KZ,OT,12.0
AZ,LB,1.0
BT,F,7.0
LH,HG,6.0
FP,PN,15.0
SL,XU,9.0
AL,XK,34.0
JJ,ZV,1.0
RV,RS,11.0
TN,HL,8.0
EO,BR,5.0
LS,ID,16.0
EO,NU,9.0
SL,UP,3.0
NF,BT,2.0
AW,ZB,10.0
U,VG,20.0
KR,WW,1.0
RD,ZW,1.0
RA,QU,16.0
KY,RO,1.0
TY,GI,8.0
IH,P,13.0
YE,ML,1.0
CO,YR,10.0
KF,QI,9.0
UA,IT,5.0
XX,PL,8.0
NC,RQ,3.0
RK,MV,6.0
TH,BV,8.0
LA,QH,6.0
AJ,CH,13.0
BC,JH,14.0
RN,KZ,2.0
NY,MF,2.0
SG,HC,20.0
BF,WP,9.0
LY,YH,15.0
AB,HE,3.0
VZ,TM,2.0
IN,FZ,2.0
FQ,TF,3.0
PS,HS,2.0
GK,LG,5.0
HJ,OQ,2.0
HD,OF,10.0
EK,JX,11.0
CG,IB,11.0
IA,FA,1.0
CP,YN,4.0
AL,YK,3.0
XI,RF,3.0
UR,HN,2.0
VZ,UD,1.0
O,TL,8.0
LK,NS,1.0
FZ,PC,9.0
DV,TH,5.0
SJ,MD,5.0
UJ,RM,8.0
IB,QS,5.0
ME,YB,9.0
UA,LH,6.0
PV,RL,16.0
HU,FY,16.0
RR,BS,3.0
JE,PS,3.0
PH,SX,9.0
QL,PJ,5.0
GQ,LA,6.0
IO,AU,7.0
HL,XH,15.0
SP,LV,14.0
OE,KC,9.0
RQ,GJ,23.0
TR,NZ,2.0
DB,LZ,41.0
KZ,MR,15.0
VN,CI,3.0
RW,GW,4.0
CC,AX,13.0
QO,VU,29.0
OH,KA,7.0
HB,XS,4.0
PP,QO,10.0
N,QR,10.0
JZ,KV,3.0
GU,DB,18.0
EP,PA,10.0
WN,YF,50.0
FT,GH,12.0
TM,OK,9.0
JJ,IV,12.0
TZ,HJ,5.0
TX,VJ,10.0
PT,GT,20.0
HQ,WZ,16.0
GF,SO,6.0
TZ,BK,6.0
DG,XR,6.0
FK,QG,2.0
UV,KD,32.0
BS,YT,9.0
GI,VE,8.0
HH,VH,6.0
GL,RE,9.0
JM,MU,1.0
CM,TV,20.0
LL,KJ,4.0
CL,XT,4.0
FG,CD,10.0
DO,SZ,6.0
JE,NM,7.0
CR,KH,8.0
GH,SU,17.0
T,QC,11.0
BO,LL,4.0
WS,HI,17.0
UG,PQ,2.0
SW,SA,16.0
EQ,J,13.0
FE,CM,6.0
XV,DZ,7.0
HG,YE,8.0
CR,KE,7.0
QM,JQ,7.0
NG,DD,12.0
XX,RW,2.0
NT,XZ,9.0
FH,AW,5.0
SH,FU,3.0
PX,CZ,2.0
YV,IF,22.0
KA,HP,4.0
PU,QY,5.0
NS,NL,15.0
JF,AF,10.0
RR,DK,22.0
XX,KN,5.0
ZX,AB,4.0
NE,LN,15.0
AV,KO,4.0
JO,EC,3.0
RM,SL,6.0
UR,XA,6.0
Y,HV,9.0
ES,GY,4.0
GJ,Z,12.0
MX,SN,5.0
FR,AP,8.0
OS,AK,9.0
BS,UM,5.0
HW,DS,11.0
YG,CP,4.0
IL,ZQ,16.0
BZ,AV,7.0
WJ,UX,2.0
RC,VF,2.0
GS,I,1.0
WS,VP,3.0
SO,XE,4.0
MZ,QA,1.0
CT,GM,18.0
NO,XL,12.0
SC,GC,4.0
BD,TN,1.0
GR,BC,4.0
CT,NG,16.0
OO,AY,18.0
HF,MG,10.0
G,UH,12.0
CR,QZ,3.0
IU,OG,6.0
PT,EE,9.0
LP,DU,9.0
YA,ZN,5.0
OK,SP,4.0
WP,VV,8.0
XY,BU,1.0
YB,QB,16.0
ZN,VY,12.0
YN,VK,11.0
YA,PI,6.0
LG,WM,9.0
GQ,OS,5.0
P,WQ,18.0
CQ,QX,15.0
CL,NN,4.0
JQ,MW,9.0
QZ,PV,4.0
JL,CU,9.0
XS,CG,10.0
OA,LI,7.0
NJ,AD,8.0
WU,EK,2.0
GR,GX,11.0
SH,EF,3.0
KN,PF,3.0
OZ,HM,1.0
RB,ZM,11.0
LW,SR,19.0
MY,PD,8.0
SG,KB,3.0
SB,FM,2.0
YU,WG,9.0
VK,VQ,4.0
UC,WD,33.0
FU,FN,2.0
GF,AS,4.0
RB,MT,10.0
WB,XI,11.0
UD,UY,13.0
BH,AE,14.0
WM,WT,6.0
XH,SI,16.0
IK,UA,4.0
RE,ZZ,10.0
YY,MP,21.0
ID,FC,19.0
WT,OM,6.0
HS,TP,21.0
JS,NO,12.0
WK,TO,10.0
UF,ZS,10.0
UN,VM,4.0
GD,HK,10.0
QT,SH,7.0
FS,SF,1.0
HD,WO,10.0
ZC,IU,8.0
YL,CN,4.0
EP,YD,10.0
GU,YM,6.0
DR,TG,6.0
T,UU,13.0
VP,IQ,19.0
GD,EP,15.0
YX,HT,21.0
QF,QV,5.0
CG,WX,8.0
BY,KR,12.0
AP,HZ,19.0
JN,AN,25.0
EC,JV,17.0
NS,SK,8.0
BP,BA,16.0
KI,WV,11.0
AA,HD,1.0
QA,UL,2.0
PQ,TU,21.0
BY,OB,3.0
VM,KL,13.0
UO,LK,13.0
AV,XM,7.0
OB,HQ,7.0
WS,ZD,11.0
PS,YO,17.0
QI,EB,8.0
F,HA,6.0
LU,BD,8.0
VP,JJ,3.0
NY,W,7.0
QI,JE,8.0
XY,KQ,3.0
MT,BW,28.0
XG,GB,14.0
LI,IZ,6.0
CN,EI,8.0
UD,EJ,13.0
XS,CT,16.0
H,NY,10.0
JP,ZE,11.0
YB,ST,16.0
IO,ND,4.0
WC,ZI,3.0
RB,EQ,3.0
LI,R,7.0
