src,dst,wgh
GF,SQ,5.0
GO,DU,3.0
UJ,RO,1.0
BW,ME,1.0
RE,JI,3.0
WQ,VP,4.0
GF,EU,6.0
EM,PK,6.0
KS,SY,3.0
BA,OC,6.0
CD,XF,3.0
DY,SQ,4.0
SU,KO,5.0
YC,DI,7.0
MM,KY,12.0
MR,UW,2.0
XA,CP,5.0
PL,OK,2.0
OX,PW,2.0
RV,UZ,2.0
ZG,NH,4.0
RF,ZB,7.0
YK,AK,7.0
FC,BL,6.0
SN,YW,4.0
SE,DT,2.0
TC,RA,5.0
QT,IE,5.0
WL,J,3.0
RJ,SK,7.0
JT,GB,7.0
YN,UW,3.0
BM,XY,10.0
PR,OU,5.0
NG,A,3.0
UZ,ZH,2.0
EC,IR,3.0
DJ,OY,15.0
XY,BM,10.0
HA,HW,7.0
WL,ZL,3.0
HE,RH,4.0
KL,SV,4.0
RQ,FI,8.0
GD,RF,5.0
IT,LR,10.0
HH,XR,3.0
QV,WC,3.0
AI,YZ,2.0
FF,EL,3.0
HA,BD,10.0
YE,GI,2.0
Q,ZB,4.0
BV,GC,1.0
CT,VM,1.0
RP,TN,1.0
OY,UZ,4.0
EI,PR,1.0
GM,SI,6.0
KZ,IT,3.0
HV,IN,10.0
YM,GW,2.0
VZ,EL,7.0
XN,V,1.0
JX,OA,2.0
XQ,YB,6.0
TO,DK,1.0
TO,SV,4.0
SE,JZ,10.0
D,TG,3.0
JF,NR,3.0
KV,BC,6.0
PF,PD,2.0
DX,FM,6.0
EL,FF,3.0
LO,BN,2.0
MA,EG,1.0
PD,PF,2.0
RI,OX,6.0
KR,OY,1.0
CA,HH,1.0
E,EK,1.0
CK,FB,3.0
EL,LX,1.0
BT,HR,2.0
ID,KO,4.0
MU,LJ,4.0
IO,ZC,4.0
SL,ZB,1.0
OY,DJ,15.0
TH,KI,9.0
LX,EL,1.0
BH,SF,2.0
NX,OY,6.0
LH,ZY,6.0
VK,JW,6.0
BR,M,7.0
RW,XU,6.0
FN,UP,4.0
EQ,TB,3.0
ON,AL,4.0
DB,OG,1.0
YJ,NS,1.0
LK,DO,12.0
VR,LV,7.0
VJ,ZW,2.0
JX,SB,3.0
LQ,RS,14.0
KA,EJ,6.0
VW,FK,7.0
MY,UA,1.0
PG,TX,6.0
ZR,ZQ,25.0
XR,HH,3.0
SS,VA,3.0
AH,UB,4.0
EU,GS,13.0
GR,MP,9.0
IB,WS,1.0
RR,VD,2.0
ND,KE,11.0
I,QX,4.0
JK,FE,5.0
LS,JV,12.0
BA,F,5.0
WJ,GW,7.0
AU,AO,1.0
VY,RK,4.0
OP,LC,11.0
MB,KY,3.0
CX,LG,2.0
ER,ZR,8.0
XT,PI,2.0
LL,HR,4.0
ND,IR,4.0
EC,HI,5.0
DU,GO,3.0
OI,JA,3.0
BQ,LE,5.0
RH,UH,10.0
AG,CY,1.0
IQ,RF,7.0
CA,HJ,2.0
LL,WS,5.0
DN,GI,11.0
AB,HY,4.0
FN,UL,7.0
WE,JL,9.0
VU,NF,9.0
UW,YN,3.0
PZ,ZP,3.0
T,KB,7.0
TV,QZ,4.0
MH,QJ,4.0
OQ,NB,11.0
PC,GH,4.0
VK,RO,4.0
MY,OH,3.0
VA,FM,2.0
YU,GA,1.0
KC,PF,6.0
MI,OW,2.0
CG,FF,4.0
QV,JR,3.0
AY,ZU,6.0
AO,OM,1.0
GZ,WZ,7.0
HL,MM,1.0
FB,CK,3.0
LM,VQ,3.0
NK,JR,3.0
FH,KY,3.0
WV,EM,7.0
MS,ZJ,1.0
J,KU,5.0
TU,FI,5.0
NX,QC,9.0
AG,YP,17.0
AY,RT,1.0
XX,NL,6.0
MC,PM,4.0
KA,AM,7.0
VQ,LM,3.0
ZB,SL,1.0
OK,PL,2.0
KU,J,5.0
XO,XJ,1.0
CZ,II,4.0
QN,AL,5.0
TX,PG,6.0
V,XN,1.0
W,NZ,8.0
FY,WM,14.0
HH,CA,1.0
HB,WB,10.0
JI,TB,6.0
SI,HY,1.0
XG,PS,2.0
TN,FD,7.0
RO,UJ,1.0
DT,JB,12.0
IJ,YV,1.0
JI,C,4.0
SJ,DP,1.0
DB,TP,4.0
CF,AR,5.0
TV,ET,6.0
XX,BI,5.0
LY,CX,3.0
QT,XK,2.0
CM,UX,4.0
OJ,FZ,2.0
JF,CB,2.0
QM,MN,7.0
SB,TY,4.0
OV,CC,8.0
LY,C,3.0
DO,AD,9.0
RS,FW,4.0
KY,MM,12.0
M,FA,12.0
PS,ZD,5.0
KE,ND,11.0
DK,TO,1.0
RY,SW,5.0
CQ,NO,5.0
JT,CU,7.0
QX,I,4.0
JQ,WO,5.0
FO,M,5.0
QD,IN,2.0
OF,BP,7.0
SV,TO,4.0
JT,UV,3.0
KH,AV,3.0
YF,ES,3.0
WJ,UZ,4.0
EE,PA,6.0
NK,MF,2.0
RY,RA,3.0
EL,FN,1.0
T,GU,6.0
DT,SE,2.0
LM,FP,8.0
XM,YF,2.0
FM,DX,6.0
NO,AO,3.0
WQ,VH,1.0
NF,LH,1.0
JC,HR,6.0
XQ,CR,9.0
UB,RB,6.0
NY,ND,8.0
AB,RC,7.0
TJ,PB,1.0
CG,KK,4.0
