src,dst,wgh
IN,AA,703.0
ZD,PV,925.0
PU,ZD,305.0
MA,EO,34.0
VK,SK,645.0
IH,HD,464.0
ZH,UK,764.0
XC,W,194.0
CL,UZ,751.0
PM,AL,201.0
ET,WY,443.0
HB,YX,323.0
IL,LS,790.0
ZE,IY,756.0
OB,EZ,657.0
RT,WT,721.0
TW,LM,99.0
XO,AG,625.0
XT,NM,625.0
DF,QA,378.0
GP,KD,440.0
VF,SQ,67.0
TV,CV,829.0
VI,AB,293.0
KK,JI,555.0
RU,PW,427.0
WC,ZD,496.0
GW,ZD,619.0
VX,LX,827.0
IZ,NW,962.0
GR,LX,714.0
XK,JD,95.0
MM,SK,750.0
TR,LS,94.0
VU,AL,939.0
ML,JT,662.0
BN,TA,808.0
BL,QF,179.0
TV,QH,124.0
SB,DA,372.0
IX,ZO,853.0
ZQ,WU,186.0
QC,SW,458.0
UI,ZI,129.0
HF,OB,402.0
IP,AW,430.0
MC,FK,403.0
SH,JJ,932.0
UF,NW,206.0
IJ,HZ,325.0
QM,QL,707.0
WJ,ZT,645.0
DJ,FE,211.0
EY,FF,523.0
VR,CL,98.0
QQ,VA,316.0
Q,HT,900.0
UD,ZO,827.0
JA,VP,908.0
XV,OI,329.0
ZW,AG,345.0
MV,UU,619.0
UC,QX,231.0
QS,WU,823.0
QN,JO,61.0
WD,CV,53.0
OU,TL,119.0
DG,IF,450.0
DE,FK,176.0
YH,OS,738.0
IW,BM,405.0
DJ,SQ,540.0
LJ,QR,508.0
HL,GA,868.0
OQ,I,568.0
K,I,366.0
ZW,NS,249.0
ZR,AM,704.0
DV,TA,961.0
XY,KJ,340.0
OX,OI,962.0
OS,BC,575.0
DZ,XP,251.0
SF,FQ,974.0
WK,DL,938.0
YE,QS,472.0
JJ,XZ,970.0
MW,N,69.0
CG,DL,914.0
UG,GB,241.0
DQ,TG,287.0
DL,GA,251.0
UO,AS,152.0
WT,VG,356.0
JQ,JZ,933.0
WM,FF,890.0
LO,OM,73.0
PD,VV,434.0
SV,KP,792.0
DP,KP,892.0
JK,RC,562.0
LS,TB,643.0
AP,PC,129.0
EC,TQ,615.0
FU,BC,346.0
JH,FQ,861.0
EB,KZ,446.0
EG,YF,761.0
EE,VK,955.0
XH,XK,468.0
RG,YA,407.0
EI,ZZ,656.0
YL,RI,834.0
PQ,PI,162.0
AK,PI,439.0
TD,TW,596.0
RD,MO,9.0
QY,I,769.0
GA,IP,733.0
DX,TW,782.0
YI,FW,537.0
PS,RC,267.0
DW,LF,614.0
TF,VQ,433.0
ZA,D,125.0
PH,KZ,783.0
NM,QX,540.0
SZ,T,918.0
DT,T,418.0
GB,BS,434.0
YZ,TM,246.0
JO,GG,813.0
QT,O,655.0
FV,IV,969.0
ID,KU,840.0
KL,MT,481.0
YW,IA,227.0
NA,CD,226.0
NY,RH,295.0
AR,PY,618.0
RK,NE,540.0
RF,Y,528.0
EM,PD,52.0
YU,TS,654.0
YP,GM,972.0
RO,RT,439.0
NZ,KK,782.0
GL,NU,73.0
EL,GM,173.0
XJ,YG,356.0
GJ,KZ,605.0
HY,LA,525.0
D,JA,596.0
QB,TM,927.0
EY,PN,865.0
XG,MU,818.0
MD,IV,746.0
CU,SD,161.0
CP,EX,239.0
VQ,EC,104.0
B,US,652.0
BH,TW,642.0
PX,J,990.0
CR,GR,250.0
RX,GR,379.0
ZC,Z,82.0
KP,BX,512.0
MJ,PE,19.0
BG,LF,378.0
ET,PT,9.0
EO,CN,865.0
GD,CO,660.0
IL,EN,384.0
GW,EM,131.0
XP,BS,264.0
TW,EH,575.0
LX,AK,417.0
K,JQ,248.0
AZ,JR,473.0
GU,QE,310.0
OX,YQ,56.0
WC,RY,943.0
XM,ET,363.0
SJ,UN,122.0
J,Y,468.0
GQ,ZB,218.0
IT,NU,89.0
ZO,NV,193.0
MQ,PU,907.0
BN,LV,295.0
SL,WH,342.0
IS,FD,791.0
ZQ,PP,482.0
QA,IW,732.0
HC,ZL,691.0
YA,GX,47.0
YF,UD,153.0
ZN,ED,321.0
SE,UT,268.0
QS,CD,196.0
DM,JL,362.0
XU,OA,979.0
T,MA,638.0
Y,ZG,216.0
GY,FI,1.0
XR,CO,492.0
V,NU,826.0
DN,CO,170.0
UD,SJ,551.0
WL,UI,609.0
MS,DE,47.0
QK,UY,465.0
SN,JR,18.0
QS,PP,191.0
FU,YW,9.0
LC,XM,888.0
ZS,CZ,284.0
KM,CZ,422.0
LK,SD,975.0
SU,YR,862.0
RE,PZ,360.0
FN,XI,564.0
LD,QP,46.0
JD,JH,982.0
KY,DJ,382.0
DV,LV,276.0
JS,VD,195.0
WD,JC,857.0
AC,OK,48.0
DZ,QK,479.0
DU,DE,866.0
HH,HS,281.0
AB,FT,284.0
DT,XN,710.0
VH,ZM,161.0
GB,ZM,718.0
UM,UT,37.0
YE,JN,895.0
NB,FO,68.0
DS,OW,707.0
EL,QU,932.0
FQ,TJ,595.0
QW,ET,76.0
WT,OB,752.0
LO,HH,979.0
SV,DK,496.0
SY,NV,92.0
IA,XC,949.0
NS,TE,268.0
FM,G,408.0
WK,JS,287.0
EB,DU,561.0
RH,ZM,465.0
KB,XN,212.0
AN,TP,456.0
TO,SU,586.0
TJ,FO,133.0
UT,VJ,41.0
XB,XI,748.0
WW,KC,388.0
ZJ,ZH,490.0
NN,TK,511.0
NQ,AV,723.0
TD,MR,106.0
EC,ZX,38.0
WV,BL,987.0
LX,KS,956.0
JX,DK,131.0
CM,RF,321.0
DW,EA,119.0
XC,QL,785.0
WX,DF,212.0
JW,XT,143.0
PM,RA,150.0
PQ,VP,796.0
AY,KH,297.0
PO,SU,3.0
TG,HO,582.0
XO,QV,367.0
ID,DP,163.0
LX,YE,941.0
KL,FO,737.0
LV,VJ,268.0
YW,AV,91.0
NY,KC,977.0
RV,MC,646.0
IC,XY,135.0
ZA,FK,720.0
OC,OR,551.0
AR,IT,318.0
QA,TE,376.0
GM,PG,822.0
NR,IO,653.0
LR,BG,23.0
CT,RV,924.0
QE,XT,560.0
PZ,KN,311.0
KD,YJ,619.0
YR,BB,190.0
SB,TP,731.0
CQ,GJ,431.0
RL,C,817.0
AQ,B,52.0
MI,OW,571.0
SD,VJ,382.0
IP,RL,459.0
B,NN,16.0
ZI,OR,654.0
EW,UA,855.0
XS,FZ,232.0
IM,FZ,301.0
ZM,TG,446.0
OH,MM,51.0
PR,H,616.0
VO,IP,314.0
EY,VU,867.0
KQ,RW,984.0
LY,BW,900.0
Q,YI,272.0
DD,W,661.0
RT,IJ,343.0
XQ,RR,648.0
IF,EL,92.0
ZY,TQ,787.0
CX,GZ,893.0
AX,R,925.0
SQ,OW,909.0
WA,IZ,358.0
QI,MX,443.0
RS,S,600.0
GU,IZ,785.0
XN,GF,401.0
KP,IE,647.0
R,RL,732.0
SK,VZ,86.0
GW,KT,773.0
XP,HZ,13.0
CY,AC,825.0
HL,WP,639.0
GQ,RW,400.0
VZ,H,793.0
ZO,GQ,654.0
OO,NC,360.0
UL,WK,511.0
BL,BV,604.0
YG,VP,71.0
OS,RR,701.0
SF,WF,238.0
UF,M,510.0
UK,MS,268.0
VU,N,663.0
XU,GV,876.0
MW,QC,597.0
T,EV,584.0
QO,EW,895.0
SB,CC,774.0
UO,RH,445.0
HI,YP,579.0
YB,VV,823.0
S,ZE,465.0
BV,NX,546.0
PG,TV,660.0
JA,HF,851.0
HA,X,772.0
LN,WK,138.0
NC,WL,866.0
SS,PS,935.0
FM,XA,210.0
HP,LT,630.0
VA,RR,264.0
WF,UG,547.0
UF,MY,655.0
DH,CM,880.0
JH,WF,476.0
OU,FB,160.0
LK,KY,77.0
QH,CH,594.0
UU,YU,456.0
FO,YU,16.0
HR,NN,645.0
JG,NO,153.0
LJ,CH,401.0
NM,UA,992.0
BQ,OD,465.0
WG,NJ,96.0
CN,UQ,391.0
AI,AC,443.0
WV,ZF,9.0
DV,EQ,702.0
AH,UL,310.0
AC,HF,864.0
CK,JE,720.0
HH,AN,213.0
US,GL,659.0
NJ,XB,158.0
CE,QH,813.0
DT,QI,779.0
IB,ZP,409.0
VH,SH,122.0
UM,NO,663.0
IE,HA,805.0
WU,PN,51.0
WP,CH,256.0
RO,UW,295.0
CI,UW,18.0
AD,AI,622.0
VJ,UB,12.0
JK,CS,875.0
NS,LZ,509.0
PK,WL,413.0
NP,AN,812.0
TP,UG,266.0
EE,HA,30.0
VE,UH,846.0
YR,YV,337.0
AN,MK,342.0
AL,JP,686.0
AQ,WV,357.0
TO,LP,857.0
UT,OE,782.0
HV,QD,62.0
PQ,AY,665.0
XD,RX,214.0
AJ,VH,801.0
RX,XG,530.0
CR,XG,524.0
AM,CS,215.0
EZ,ZF,51.0
TF,HG,357.0
ZC,QO,367.0
JW,QO,43.0
PM,JV,483.0
NM,CN,835.0
WW,QJ,810.0
ZE,SI,404.0
JT,FC,832.0
LY,ZQ,431.0
PQ,OK,917.0
KI,QY,543.0
LX,QZ,172.0
YY,ZL,946.0
LV,OE,519.0
QD,XL,520.0
OD,QD,409.0
RN,KG,502.0
AS,KF,324.0
VN,WR,276.0
QF,ZF,306.0
XM,VI,370.0
VH,AU,711.0
GM,IB,258.0
ZN,HG,326.0
NR,BJ,209.0
PZ,DI,357.0
RO,DJ,461.0
J,QN,393.0
GO,JV,748.0
GT,XB,558.0
ML,TD,124.0
PT,KL,518.0
EY,BD,567.0
C,OZ,310.0
BK,QY,90.0
TN,AZ,610.0
IP,KG,622.0
IU,XM,420.0
BE,YB,227.0
BH,FM,684.0
VP,KB,165.0
MZ,VH,189.0
QM,ZV,429.0
UE,OP,996.0
TZ,BJ,43.0
VO,BK,341.0
OL,JW,362.0
TY,VS,603.0
WG,XR,764.0
JD,MK,24.0
U,VS,280.0
CX,U,55.0
BC,FS,785.0
SQ,HR,989.0
FK,OZ,249.0
WD,MF,587.0
SK,OU,997.0
DE,OU,469.0
IW,KW,811.0
GW,DO,284.0
XP,AU,397.0
OQ,IS,252.0
DS,RZ,829.0
QD,FY,72.0
HI,DY,630.0
HN,RE,286.0
LA,VS,465.0
X,RT,855.0
SF,PA,754.0
HH,YH,579.0
YF,FT,220.0
KZ,NB,124.0
NC,BU,569.0
OM,RP,472.0
Z,TN,932.0
OP,A,661.0
SE,GJ,426.0
BJ,GI,585.0
NB,WD,722.0
BY,SE,182.0
Y,KW,273.0
QW,VI,26.0
WO,RK,490.0
UO,KC,897.0
FO,ED,924.0
JL,GD,681.0
MY,KR,704.0
ST,RE,902.0
YL,NG,718.0
LN,PF,523.0
PA,TT,459.0
BX,IM,500.0
PE,YI,431.0
OZ,LC,789.0
AM,NA,153.0
CB,NB,182.0
NJ,CK,461.0
UW,TJ,674.0
LI,PL,299.0
OY,BK,605.0
BS,IS,775.0
HK,EU,13.0
JX,TZ,125.0
YI,PG,251.0
FZ,JI,474.0
TA,RU,828.0
GC,TT,3.0
NH,NB,302.0
CE,JC,990.0
PK,BU,857.0
DT,JD,741.0
GB,LC,558.0
IE,V,632.0
YU,PQ,320.0
NG,EK,954.0
FQ,EZ,396.0
TB,KX,412.0
YT,GZ,289.0
YR,EE,649.0
YW,RK,21.0
RL,CF,469.0
RQ,PL,78.0
PF,CA,61.0
CE,WO,80.0
JZ,HJ,119.0
KE,UP,711.0
IE,NH,94.0
YP,PW,447.0
KC,RU,551.0
RJ,NX,201.0
AO,NW,335.0
RH,LC,473.0
TP,NB,117.0
HY,UK,472.0
UZ,W,55.0
KB,JD,378.0
WZ,HE,782.0
PW,PQ,31.0
RL,PR,945.0
GN,YY,414.0
EI,EK,43.0
UT,GZ,346.0
UY,UF,907.0
XG,WE,851.0
TO,EK,891.0
MD,SF,916.0
NS,SG,856.0
HV,IY,864.0
ZJ,KX,479.0
RY,YS,949.0
IK,UU,811.0
AZ,FP,187.0
ER,XJ,468.0
BC,QA,227.0
RX,QB,491.0
PX,IT,248.0
TF,AB,600.0
XC,CB,381.0
BB,HJ,682.0
VO,ZE,559.0
OG,UK,295.0
DD,QL,551.0
RT,YY,595.0
PO,EK,630.0
VL,NS,543.0
KN,WZ,36.0
MQ,LS,753.0
AZ,TB,355.0
K,TA,470.0
N,AL,77.0
CX,XO,735.0
AS,DA,203.0
UA,SG,94.0
GP,MI,795.0
VI,CG,733.0
ZV,YT,58.0
KK,LN,10.0
M,UU,173.0
EJ,MD,777.0
XM,OD,435.0
XK,LI,852.0
XP,YO,351.0
FG,SQ,211.0
SB,FF,539.0
TQ,FG,672.0
EV,MN,802.0
FA,ZT,94.0
IV,YY,527.0
C,HU,945.0
BK,JT,635.0
QA,SG,245.0
SD,GZ,922.0
YA,QH,672.0
IP,DB,235.0
B,D,597.0
MC,HP,700.0
QS,LN,773.0
FB,SW,594.0
UH,SW,284.0
VU,QC,916.0
VP,CW,718.0
KR,MD,761.0
QO,VL,631.0
OJ,AX,948.0
BI,VL,659.0
UE,HK,358.0
JG,QR,472.0
XW,ZE,878.0
XR,LY,717.0
QL,JZ,511.0
Q,JY,216.0
RY,HF,3.0
BU,VV,937.0
SQ,AM,71.0
FK,HU,494.0
MP,BC,953.0
QH,SW,459.0
SP,UV,496.0
MO,VL,865.0
HJ,FK,818.0
QT,TG,496.0
SI,TH,248.0
OY,ZE,843.0
QW,AR,510.0
WA,IB,882.0
JN,RH,970.0
HN,JZ,610.0
LA,ON,884.0
SF,HV,686.0
HH,RC,944.0
OM,KK,881.0
PK,ZO,982.0
DO,TR,555.0
QU,MJ,611.0
HJ,SW,798.0
XZ,FR,906.0
JM,HP,295.0
BY,KZ,254.0
SR,IF,86.0
WO,KF,51.0
JQ,ME,745.0
WM,HK,513.0
PD,YA,410.0
S,KU,905.0
PG,FL,584.0
YQ,TH,492.0
JK,TH,294.0
JF,GB,251.0
LS,VG,847.0
AP,RH,21.0
PF,ZU,880.0
RI,ON,703.0
BX,BH,904.0
SS,BI,602.0
SX,OO,270.0
EC,VV,281.0
UX,VW,706.0
BY,YL,330.0
PE,RD,785.0
XC,MJ,38.0
LL,TS,416.0
HW,MJ,887.0
HR,D,198.0
NM,FQ,153.0
TJ,OY,113.0
ED,OY,339.0
WW,TM,671.0
YL,TN,23.0
JY,VL,55.0
LI,IG,482.0
NQ,KF,393.0
AF,EH,924.0
TG,DM,212.0
IN,ZZ,715.0
WY,VG,188.0
NF,EC,400.0
AM,TH,551.0
FZ,CD,460.0
JU,BI,276.0
IB,LF,960.0
YU,IL,531.0
JT,VR,798.0
PL,RT,533.0
TG,QY,608.0
VJ,FR,477.0
JN,U,218.0
CK,IG,83.0
TT,ZZ,462.0
UY,O,642.0
RF,CD,213.0
PK,IB,599.0
GM,YQ,926.0
TN,EC,548.0
NZ,MP,521.0
AO,GR,381.0
VB,YM,659.0
XE,NF,142.0
D,LF,659.0
QB,VR,54.0
PW,IL,699.0
GI,EN,559.0
GN,RT,292.0
VR,OY,522.0
KA,WH,440.0
ZJ,DS,655.0
CU,UI,628.0
