src,dst,wgh
VV,YN,339.0
YN,VV,339.0
JZ,SQ,773.0
SQ,JZ,773.0
PU,ZD,256.0
ZD,PU,256.0
BC,NV,560.0
NV,BC,560.0
IM,UJ,919.0
UJ,IM,919.0
CL,UZ,583.0
UZ,CL,583.0
ET,WY,413.0
WY,ET,413.0
VO,WZ,70.0
WZ,VO,70.0
IL,LS,242.0
LS,IL,242.0
LY,QG,372.0
QG,LY,372.0
AV,MH,798.0
MH,AV,798.0
OG,SF,856.0
SF,OG,856.0
DD,OG,1.0
OG,DD,1.0
UB,YS,590.0
YS,UB,590.0
EQ,LM,405.0
LM,EQ,405.0
OA,ZI,464.0
ZI,OA,464.0
AS,AV,394.0
AV,AS,394.0
AX,OB,932.0
OB,AX,932.0
DF,QA,183.0
QA,DF,183.0
KP,WO,558.0
WO,KP,558.0
H,FJ,312.0
FJ,H,312.0
AW,FK,958.0
FK,AW,958.0
TU,XE,383.0
XE,TU,383.0
GR,LX,80.0
LX,GR,80.0
MM,SK,864.0
SK,MM,864.0
OB,SL,218.0
SL,OB,218.0
CY,OM,346.0
OM,CY,346.0
QJ,UK,58.0
UK,QJ,58.0
IT,UZ,179.0
UZ,IT,179.0
GT,NR,444.0
NR,GT,444.0
F,RB,165.0
RB,F,165.0
N,LS,965.0
LS,N,965.0
FA,XO,913.0
XO,FA,913.0
CV,DA,876.0
DA,CV,876.0
HI,ZN,721.0
ZN,HI,721.0
IV,WT,736.0
WT,IV,736.0
IQ,JN,730.0
JN,IQ,730.0
C,FP,107.0
FP,C,107.0
QA,QB,604.0
QB,QA,604.0
VX,ZJ,792.0
ZJ,VX,792.0
FC,ZI,666.0
ZI,FC,666.0
HF,OB,765.0
OB,HF,765.0
IU,OC,228.0
OC,IU,228.0
NC,XJ,685.0
XJ,NC,685.0
OP,UP,629.0
UP,OP,629.0
E,HJ,579.0
HJ,E,579.0
DM,QQ,841.0
QQ,DM,841.0
FB,QR,680.0
QR,FB,680.0
IO,VF,139.0
VF,IO,139.0
T,TF,434.0
TF,T,434.0
BD,GA,363.0
GA,BD,363.0
NE,ZD,967.0
ZD,NE,967.0
BI,TG,6.0
TG,BI,6.0
EV,XU,945.0
XU,EV,945.0
HD,ZT,192.0
ZT,HD,192.0
JG,OM,636.0
OM,JG,636.0
MT,TA,829.0
TA,MT,829.0
KT,LS,12.0
LS,KT,12.0
QQ,VA,185.0
VA,QQ,185.0
BF,HU,215.0
HU,BF,215.0
Q,HT,494.0
HT,Q,494.0
FN,RB,385.0
RB,FN,385.0
U,MI,635.0
MI,U,635.0
MV,UU,404.0
UU,MV,404.0
DH,QW,166.0
QW,DH,166.0
FK,FP,949.0
FP,FK,949.0
JC,XJ,258.0
XJ,JC,258.0
OU,TL,361.0
TL,OU,361.0
BR,IE,617.0
IE,BR,617.0
BW,VK,413.0
VK,BW,413.0
QH,QR,379.0
QR,QH,379.0
DJ,SQ,678.0
SQ,DJ,678.0
DE,FK,873.0
FK,DE,873.0
MO,TG,767.0
TG,MO,767.0
OW,VF,546.0
VF,OW,546.0
L,HZ,494.0
HZ,L,494.0
FI,RH,370.0
RH,FI,370.0
LD,XU,932.0
XU,LD,932.0
CX,DW,906.0
DW,CX,906.0
DQ,FU,138.0
FU,DQ,138.0
FF,FV,327.0
FV,FF,327.0
HN,HU,771.0
HU,HN,771.0
LF,ZO,602.0
ZO,LF,602.0
AC,VP,918.0
VP,AC,918.0
BM,IK,315.0
IK,BM,315.0
QX,VQ,901.0
VQ,QX,901.0
DU,KJ,80.0
KJ,DU,80.0
HH,OX,719.0
OX,HH,719.0
US,UV,153.0
UV,US,153.0
LE,QX,409.0
QX,LE,409.0
DO,RM,627.0
RM,DO,627.0
QZ,XK,713.0
XK,QZ,713.0
FW,TL,526.0
TL,FW,526.0
HL,TM,641.0
TM,HL,641.0
FR,GF,577.0
GF,FR,577.0
Z,KD,556.0
KD,Z,556.0
BO,KE,252.0
KE,BO,252.0
LR,ZY,272.0
ZY,LR,272.0
NG,ZZ,5.0
ZZ,NG,5.0
BY,IU,497.0
IU,BY,497.0
CD,WA,305.0
WA,CD,305.0
Y,BM,485.0
BM,Y,485.0
CG,DL,187.0
DL,CG,187.0
SW,TG,557.0
TG,SW,557.0
DL,GA,863.0
GA,DL,863.0
DQ,TG,674.0
TG,DQ,674.0
JI,PI,419.0
PI,JI,419.0
X,VV,570.0
VV,X,570.0
CA,KO,61.0
KO,CA,61.0
DP,KP,964.0
KP,DP,964.0
HX,TW,177.0
TW,HX,177.0
HV,RB,541.0
RB,HV,541.0
LS,TB,351.0
TB,LS,351.0
FR,TR,810.0
TR,FR,810.0
FM,GL,998.0
GL,FM,998.0
HZ,VQ,158.0
VQ,HZ,158.0
LH,MY,935.0
MY,LH,935.0
AJ,WF,24.0
WF,AJ,24.0
BY,WG,278.0
WG,BY,278.0
EG,YF,345.0
YF,EG,345.0
CB,DR,860.0
DR,CB,860.0
SR,TM,341.0
TM,SR,341.0
UZ,VL,382.0
VL,UZ,382.0
XH,XK,82.0
XK,XH,82.0
LL,RN,726.0
RN,LL,726.0
AL,XZ,274.0
XZ,AL,274.0
GD,UB,101.0
UB,GD,101.0
JY,TG,64.0
TG,JY,64.0
AF,CC,398.0
CC,AF,398.0
AK,PI,822.0
PI,AK,822.0
TD,TW,381.0
TW,TD,381.0
DX,TW,497.0
TW,DX,497.0
LX,RX,507.0
RX,LX,507.0
IN,XU,640.0
XU,IN,640.0
JX,KP,237.0
KP,JX,237.0
NK,PD,62.0
PD,NK,62.0
TH,YL,209.0
YL,TH,209.0
DW,LF,891.0
LF,DW,891.0
PS,RC,514.0
RC,PS,514.0
AM,RC,62.0
RC,AM,62.0
TF,VQ,673.0
VQ,TF,673.0
CM,YK,520.0
YK,CM,520.0
VN,XP,815.0
XP,VN,815.0
JR,RS,506.0
RS,JR,506.0
GC,KJ,929.0
KJ,GC,929.0
LZ,TR,947.0
TR,LZ,947.0
NM,QX,444.0
QX,NM,444.0
PL,PO,43.0
PO,PL,43.0
AA,CI,470.0
CI,AA,470.0
EN,YV,360.0
YV,EN,360.0
CI,EH,715.0
EH,CI,715.0
CN,RN,202.0
RN,CN,202.0
GA,WB,391.0
WB,GA,391.0
RN,YQ,683.0
YQ,RN,683.0
EK,NJ,377.0
NJ,EK,377.0
TA,VW,431.0
VW,TA,431.0
LU,TX,708.0
TX,LU,708.0
GM,WL,116.0
WL,GM,116.0
EM,PD,513.0
PD,EM,513.0
KE,LF,966.0
LF,KE,966.0
G,UM,570.0
UM,G,570.0
NR,PT,652.0
PT,NR,652.0
AT,RS,429.0
RS,AT,429.0
AO,EM,130.0
EM,AO,130.0
EL,GM,222.0
GM,EL,222.0
VB,WH,82.0
WH,VB,82.0
TM,WG,209.0
WG,TM,209.0
GJ,KZ,233.0
KZ,GJ,233.0
MG,UH,165.0
UH,MG,165.0
PT,YV,537.0
YV,PT,537.0
CQ,NO,5.0
NO,CQ,5.0
QB,TM,587.0
TM,QB,587.0
EF,NP,856.0
NP,EF,856.0
GH,WR,805.0
WR,GH,805.0
ER,NZ,691.0
NZ,ER,691.0
CR,GR,461.0
GR,CR,461.0
CW,TX,801.0
TX,CW,801.0
EZ,IQ,169.0
IQ,EZ,169.0
SC,TX,851.0
TX,SC,851.0
MB,UN,788.0
UN,MB,788.0
OJ,WM,947.0
WM,OJ,947.0
D,WM,461.0
WM,D,461.0
DG,SN,453.0
SN,DG,453.0
PW,TS,892.0
TS,PW,892.0
HB,RS,168.0
RS,HB,168.0
QG,SI,321.0
SI,QG,321.0
XQ,YW,395.0
YW,XQ,395.0
IF,LQ,559.0
LQ,IF,559.0
K,JQ,188.0
JQ,K,188.0
P,WW,240.0
WW,P,240.0
OA,SD,179.0
SD,OA,179.0
CX,OE,273.0
OE,CX,273.0
AX,GW,428.0
GW,AX,428.0
RX,UD,538.0
UD,RX,538.0
DF,IV,647.0
IV,DF,647.0
GU,QE,663.0
QE,GU,663.0
MR,YL,249.0
YL,MR,249.0
BO,UM,626.0
UM,BO,626.0
VW,ZB,23.0
ZB,VW,23.0
IT,NU,429.0
NU,IT,429.0
OQ,XC,139.0
XC,OQ,139.0
N,EN,832.0
EN,N,832.0
QD,UI,648.0
UI,QD,648.0
OO,UH,417.0
UH,OO,417.0
FA,QJ,795.0
QJ,FA,795.0
HI,SI,467.0
SI,HI,467.0
IV,PO,631.0
PO,IV,631.0
OS,YW,697.0
YW,OS,697.0
HC,ZL,892.0
ZL,HC,892.0
FC,SD,760.0
SD,FC,760.0
BE,HM,660.0
HM,BE,660.0
E,AE,556.0
AE,E,556.0
DM,JL,869.0
JL,DM,869.0
FB,JM,518.0
JM,FB,518.0
SE,UT,273.0
UT,SE,273.0
MW,XH,100.0
XH,MW,100.0
Y,ZG,614.0
ZG,Y,614.0
BI,MB,107.0
MB,BI,107.0
EV,QP,179.0
QP,EV,179.0
UO,YM,979.0
YM,UO,979.0
Q,AO,832.0
AO,Q,832.0
HF,UI,119.0
UI,HF,119.0
MX,QK,317.0
QK,MX,317.0
BU,ML,438.0
ML,BU,438.0
BS,JQ,655.0
JQ,BS,655.0
DH,JR,872.0
JR,DH,872.0
VA,YW,684.0
YW,VA,684.0
DM,WX,621.0
WX,DM,621.0
FP,LQ,691.0
LQ,FP,691.0
JC,QE,982.0
QE,JC,982.0
O,MG,96.0
MG,O,96.0
T,ZM,638.0
ZM,T,638.0
MZ,SE,841.0
SE,MZ,841.0
QM,WS,103.0
WS,QM,103.0
SU,YR,519.0
YR,SU,519.0
DJ,LL,583.0
LL,DJ,583.0
FE,FN,257.0
FN,FE,257.0
JG,UT,340.0
UT,JG,340.0
DT,KB,205.0
KB,DT,205.0
FN,XI,34.0
XI,FN,34.0
LD,QP,692.0
QP,LD,692.0
JD,JH,298.0
JH,JD,298.0
AA,MQ,278.0
MQ,AA,278.0
BU,ZX,199.0
ZX,BU,199.0
OY,PU,19.0
PU,OY,19.0
EA,ZB,893.0
ZB,EA,893.0
FK,LW,568.0
LW,FK,568.0
JS,VD,885.0
VD,JS,885.0
HS,NV,189.0
NV,HS,189.0
OU,ZS,959.0
ZS,OU,959.0
AC,OK,811.0
OK,AC,811.0
X,BE,247.0
BE,X,247.0
FZ,XS,53.0
XS,FZ,53.0
DZ,QK,290.0
QK,DZ,290.0
SZ,XN,161.0
XN,SZ,161.0
DT,XN,241.0
XN,DT,241.0
VH,ZM,46.0
ZM,VH,46.0
FW,MG,890.0
MG,FW,890.0
Z,CY,651.0
CY,Z,651.0
UM,UT,358.0
UT,UM,358.0
JJ,QU,492.0
QU,JJ,492.0
HJ,JM,842.0
JM,HJ,842.0
NG,SU,272.0
SU,NG,272.0
CD,OV,591.0
OV,CD,591.0
AD,HN,366.0
HN,AD,366.0
EL,QU,838.0
QU,EL,838.0
FQ,TJ,615.0
TJ,FQ,615.0
DQ,MB,880.0
MB,DQ,880.0
NA,ZX,765.0
ZX,NA,765.0
X,OQ,273.0
OQ,X,273.0
CF,QP,410.0
QP,CF,410.0
HX,MR,157.0
MR,HX,157.0
AU,VD,118.0
VD,AU,118.0
PF,QK,444.0
QK,PF,444.0
EH,ZR,182.0
ZR,EH,182.0
JZ,VT,302.0
VT,JZ,302.0
LM,SZ,514.0
SZ,LM,514.0
AJ,PA,171.0
PA,AJ,171.0
EG,RA,350.0
RA,EG,350.0
EE,OF,687.0
OF,EE,687.0
LO,UT,132.0
UT,LO,132.0
GD,MW,43.0
MW,GD,43.0
ED,FO,973.0
FO,ED,973.0
HQ,KC,729.0
KC,HQ,729.0
HV,XI,225.0
XI,HV,225.0
JY,MB,537.0
MB,JY,537.0
PV,VJ,987.0
VJ,PV,987.0
A,VI,595.0
VI,A,595.0
AK,ID,984.0
ID,AK,984.0
RI,SP,803.0
SP,RI,803.0
IN,QP,46.0
QP,IN,46.0
MA,VD,10.0
VD,MA,10.0
AE,PG,725.0
PG,AE,725.0
CM,RF,287.0
RF,CM,287.0
IH,XS,529.0
XS,IH,529.0
JR,KN,57.0
KN,JR,57.0
JW,XT,13.0
XT,JW,13.0
LZ,MM,136.0
MM,LZ,136.0
RU,SZ,965.0
SZ,RU,965.0
GG,HT,622.0
HT,GG,622.0
ZE,ZN,514.0
ZN,ZE,514.0
JT,MH,729.0
MH,JT,729.0
LT,TP,143.0
TP,LT,143.0
PQ,VP,42.0
VP,PQ,42.0
CN,KI,825.0
KI,CN,825.0
PO,SU,559.0
SU,PO,559.0
LX,YE,222.0
YE,LX,222.0
OD,XI,445.0
XI,OD,445.0
CC,EF,417.0
EF,CC,417.0
EK,GE,907.0
GE,EK,907.0
XI,XY,821.0
XY,XI,821.0
LU,MS,897.0
MS,LU,897.0
H,VY,269.0
VY,H,269.0
QC,VZ,939.0
VZ,QC,939.0
RP,TF,868.0
TF,RP,868.0
GM,PG,319.0
PG,GM,319.0
IB,PH,509.0
PH,IB,509.0
XK,ZS,985.0
ZS,XK,985.0
NW,VU,629.0
VU,NW,629.0
J,XS,810.0
XS,J,810.0
E,KM,551.0
KM,E,551.0
RR,UZ,747.0
UZ,RR,747.0
IO,YI,461.0
YI,IO,461.0
GO,RA,248.0
RA,GO,248.0
MG,NC,727.0
NC,MG,727.0
KL,TA,814.0
TA,KL,814.0
BI,WJ,403.0
WJ,BI,403.0
D,BV,953.0
BV,D,953.0
I,PB,557.0
PB,I,557.0
EY,II,628.0
II,EY,628.0
GN,IJ,26.0
IJ,GN,26.0
KA,MX,699.0
MX,KA,699.0
MI,OW,2.0
OW,MI,2.0
BK,YD,120.0
YD,BK,120.0
CU,KY,397.0
KY,CU,397.0
CZ,YE,332.0
